scheme,link
pitchfork,https://pitchfork.com/reviews/albums/20458-in-colour/
pitchfork,https://pitchfork.com/reviews/albums/jamie-xx-in-waves/
pitchfork,https://pitchfork.com/reviews/albums/newjeans-get-up-ep/
pitchfork,https://pitchfork.com/reviews/albums/aal-against-all-logic-2012-2017/
pitchfork,https://pitchfork.com/reviews/albums/10785-in-rainbows/
pitchfork,https://pitchfork.com/reviews/albums/beabadoobee-beatopia/
pitchfork,https://pitchfork.com/reviews/albums/tainy-data/
pitchfork,https://pitchfork.com/reviews/albums/the-strokes-the-new-abnormal/
pitchfork,https://pitchfork.com/reviews/albums/7537-is-this-it/
pitchfork,https://pitchfork.com/reviews/albums/7538-room-on-fire/
pitchfork,https://pitchfork.com/reviews/albums/13995-lights/
pitchfork,https://pitchfork.com/reviews/albums/tame-impala-the-slow-rush/
pitchfork,https://pitchfork.com/reviews/albums/20578-currents/
pitchfork,https://pitchfork.com/reviews/albums/the-voidz-virtue/
pitchfork,https://pitchfork.com/reviews/albums/reviews/albums/beabadoobee-this-is-how-tomorrow-moves/
pitchfork,https://pitchfork.com/reviews/albums/beabadoobee-our-extended-play-ep/
pitchfork,https://pitchfork.com/reviews/albums/emotional-oranges-the-juice-vol-ii/
pitchfork,https://pitchfork.com/reviews/albums/20626-true-colors/
pitchfork,https://pitchfork.com/reviews/albums/22727-i-see-you/
pitchfork,https://pitchfork.com/reviews/albums/13400-xx/
pitchfork,https://pitchfork.com/reviews/albums/18028-daft-punk-random-access-memories/
pitchfork,https://pitchfork.com/reviews/albums/2134-discovery/
pitchfork,https://pitchfork.com/reviews/albums/talking-heads-remain-in-light/
pitchfork,https://pitchfork.com/reviews/albums/11352-the-glow-pt-2/
pitchfork,https://pitchfork.com/reviews/albums/magdalena-bay-a-little-rhythm-and-a-wicked-feeling-ep/
pitchfork,https://pitchfork.com/reviews/albums/magdalena-bay-imaginal-disk/
pitchfork,https://pitchfork.com/reviews/albums/385-since-i-left-you/
pitchfork,https://pitchfork.com/reviews/albums/charli-xcx-brat/
pitchfork,https://pitchfork.com/reviews/albums/sophie-oil-of-every-pearls-un-insides/
pitchfork,https://pitchfork.com/reviews/albums/20390-to-pimp-a-butterfly/
pitchfork,https://pitchfork.com/reviews/albums/21841-purple-rain/
